year,SWC,RD_med,plant_type,time_period,Depth
2015,6.627973525,321.8116809,Tree,Spring,Deep 
2016,6.8660713,343.3414371,Tree,Spring,Deep 
2018,7.188663277,339.30965,Tree,Spring,Deep 
2019,8.673730087,379.0281308,Tree,Spring,Deep 
2020,6.710015083,330.955165,Tree,Spring,Deep 
2015,6.419183644,305.6617763,Understory,Jul_Aug,Shallow
2016,7.710798117,290.982887,Understory,Jul_Aug,Shallow
2017,8.430782666,253.3311579,Understory,Jul_Aug,Shallow
2018,8.159162197,272.7117757,Understory,Jul_Aug,Shallow
2019,5.292818257,305.7375682,Understory,Jul_Aug,Shallow
2015,6.419184,321.8116809,Tree,Jul_Aug,Shallow
2016,7.710798,343.3414371,Tree,Jul_Aug,Shallow
2018,8.159162,339.30965,Tree,Jul_Aug,Shallow
2019,5.292818,379.0281308,Tree,Jul_Aug,Shallow
2020,4.400161,330.955165,Tree,Jul_Aug,Shallow
2015,6.627974,305.6617763,Understory,Spring,Deep 
2016,6.866071,290.982887,Understory,Spring,Deep 
2017,5.779334,253.3311579,Understory,Spring,Deep 
2018,7.188663,272.7117757,Understory,Spring,Deep 
2019,8.67373,305.7375682,Understory,Spring,Deep 
2005,7.489995,287.7609,MODIS,Jul_Aug,Shallow
2006,6.782487,291.2328,MODIS,Jul_Aug,Shallow
2007,7.365255,264.0672,MODIS,Jul_Aug,Shallow
2008,8.246671,292.7103,MODIS,Jul_Aug,Shallow
2009,5.979068,264.5106,MODIS,Jul_Aug,Shallow
2010,7.102063,279.6439,MODIS,Jul_Aug,Shallow
2011,7.220118,300.2414,MODIS,Jul_Aug,Shallow
2012,6.580335,296.4314,MODIS,Jul_Aug,Shallow
2013,6.925375,281.8536,MODIS,Jul_Aug,Shallow
2014,6.348758,314.8817,MODIS,Jul_Aug,Shallow
2015,6.419184,332.485,MODIS,Jul_Aug,Shallow
2016,7.710798,313.2142,MODIS,Jul_Aug,Shallow
2017,8.430783,250.2126,MODIS,Jul_Aug,Shallow
2018,8.159162,351.4511,MODIS,Jul_Aug,Shallow
2019,5.292818,340.8603,MODIS,Jul_Aug,Shallow
2020,4.400161,229.7342,MODIS,Jul_Aug,Shallow
2005,5.27726,287.7609,MODIS,Spring,Deep 
2006,5.648612,291.2328,MODIS,Spring,Deep 
2007,5.732205,264.0672,MODIS,Spring,Deep 
2008,5.957202,292.7103,MODIS,Spring,Deep 
2009,5.747066,264.5106,MODIS,Spring,Deep 
2010,8.486431,279.6439,MODIS,Spring,Deep 
2011,5.705021,300.2414,MODIS,Spring,Deep 
2012,6.568351,296.4314,MODIS,Spring,Deep 
2013,5.829843,281.8536,MODIS,Spring,Deep 
2014,6.335966,314.8817,MODIS,Spring,Deep 
2015,6.627974,332.485,MODIS,Spring,Deep 
2016,6.866071,313.2142,MODIS,Spring,Deep 
2017,5.779334,250.2126,MODIS,Spring,Deep 
2018,7.188663,351.4511,MODIS,Spring,Deep 
2019,8.67373,340.8603,MODIS,Spring,Deep 
2020,6.710015,229.7342,MODIS,Spring,Deep 
