year,UD,SD,DD,RD,maxline,baseline,prr,psr,plateau.slope,roi,type,GSL
2015,196.2532308,245.3395636,270.8703409,306.7404954,0.366820886,0.336738306,0.00061285,-0.00081132,-3.56E-05,gra1,Understory,110.4872646
2015,186.3575315,244.0258045,271.9284804,300.5782773,0.371220461,0.336048999,0.000609893,-0.00116067,-7.36E-05,gra2,Understory,114.2207458
2015,197.6701006,245.4606,270.6761536,304.5830572,0.370728957,0.335298753,0.000741365,-0.000998566,-6.15E-05,gra3,Understory,106.9129566
2015,198.7295537,246.0121578,269.4382186,312.9358337,0.363341771,0.333743251,0.000625992,-0.00066299,-2.98E-05,gra4,Understory,114.20628
2016,183.6944723,220.6142887,230.6643095,282.4192739,0.386080948,0.343055753,0.001165369,-0.000831325,7.14E-05,gra1,Understory,98.7248016
2016,166.6693227,218.7134868,250.4190528,316.3369289,0.381749245,0.339142589,0.000818663,-0.000568445,-0.000182067,gra2,Understory,149.6676062
2016,181.6756572,221.3147798,231.0179217,291.5151994,0.387201218,0.340808245,0.001170383,-0.00076686,4.54E-05,gra3,Understory,109.8395422
2016,182.1753195,221.4036293,230.7264658,290.4505745,0.380493736,0.337425824,0.001097878,-0.000721114,6.82E-05,gra4,Understory,108.275255
2017,190.8686956,215.614912,225.2001508,255.7048769,0.353216219,0.325854627,0.001105688,-0.000896962,2.33E-05,gra1,Understory,64.83618135
2017,187.9169118,213.7577572,223.6332812,251.4219754,0.358141834,0.328981276,0.001128468,-0.001030111,-1.63E-06,gra2,Understory,63.5050636
2017,191.8456524,215.4643476,224.8070763,255.2403404,0.353448371,0.325110561,0.001199804,-0.000931146,5.87E-05,gra3,Understory,63.39468799
2017,181.5793533,213.495408,223.1399586,249.0355986,0.344823048,0.327604805,0.000539485,-0.000652684,-1.40E-05,gra4,Understory,67.45624539
2018,188.1650368,226.3003384,235.8218283,275.5165914,0.352077718,0.326753741,0.000664056,-0.000637968,1.18E-05,gra1,Understory,87.3515546
2018,179.2374374,217.4677062,232.9033874,268.3941824,0.364330449,0.32698939,0.000976741,-0.001052134,9.88E-05,gra2,Understory,89.156745
2018,180.7685205,219.5791433,233.5796596,274.6738971,0.364967059,0.325987501,0.001004353,-0.000948541,0.000109885,gra3,Understory,93.9053766
2018,188.1625697,225.25299,235.8061362,270.7496543,0.362233187,0.326934551,0.000951691,-0.000994713,-1.50E-05,gra4,Understory,82.5870846
2019,198.5652361,230.1491134,289.7000966,306.3118717,0.334010545,0.317619645,0.000518964,-0.000499415,-0.000143595,gra1,Understory,107.7466356
2019,189.891881,230.6130646,284.9073382,305.7375682,0.33500578,0.317257578,0.000435847,-0.000595725,-9.92E-05,gra2,Understory,115.8456872
2019,186.4218878,226.1102863,285.1107092,305.436178,0.333626727,0.315717737,0.00045124,-0.00065511,-7.77E-05,gra3,Understory,119.0142902
2019,202.5424992,229.6715549,NA,NA,0.323838706,0.313701494,0.000373666,-0.000273007,NA,gra4,Understory,NA
2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,gra1,Understory,NA
2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,gra2,Understory,NA
2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,gra3,Understory,NA
2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,gra4,Understory,NA
2015,69.52146111,99.66063567,264.0927386,322.0167864,0.38784147,0.334457775,0.001771239,-0.000921615,0.000106873,mes1,tree,252.4953253
2015,69.29823837,102.0985944,261.0268865,340.2193861,0.386031031,0.335112704,0.001552371,-0.000642969,0.000121916,mes2,tree,270.9211477
2015,65.48294118,92.45671436,260.3097889,321.6065753,0.400007004,0.334338388,0.002434536,-0.001071322,8.11E-05,mes3,tree,256.1236341
2015,75.91029981,100.8770192,263.109458,307.6436917,0.402813648,0.335011928,0.002715684,-0.001313701,-4.40E-05,mes4,tree,231.7333919
2016,68.12358893,93.75233413,265.5172168,344.7937653,0.401757901,0.340324811,0.002397039,-0.000595569,-5.57E-05,mes1,tree,276.6701764
2016,68.41444907,93.62114046,NA,NA,0.401201568,0.342131703,0.00234342,-0.000615011,NA,mes2,tree,NA
2016,67.94910163,94.99583783,258.423142,341.3277292,0.414837301,0.342195911,0.002685773,-0.000769153,-2.80E-05,mes3,tree,273.3786276
2016,71.73826967,98.35485181,262.6565858,343.3414371,0.423889857,0.338625889,0.003203415,-0.000756452,-0.000146774,mes4,tree,271.6031674
2018,85.11088804,109.3106534,308.9206,344.4125,0.357659221,0.328511652,0.001204457,-0.000495188,6.81E-06,mes1,tree,259.301612
2018,84.40977211,108.6254052,NA,NA,0.350742487,0.326761682,0.000990303,-0.000435681,9.12E-06,mes2,tree,NA
2018,90.60201635,117.3327951,NA,NA,0.349321931,0.330642429,0.000698801,-0.000444956,8.83E-05,mes3,tree,NA
2018,88.46656772,111.8933569,305.6756,334.2068,0.362704911,0.32908245,0.001435214,-0.000526066,-5.60E-05,mes4,tree,245.7402323
2019,86.84282388,110.6193969,122.9700342,281.8590338,0.380195236,0.313332904,0.00281211,-0.000420812,0.000474432,mes1,tree,195.0162099
2019,80.47325541,104.5312713,251.0100423,379.6656976,0.391939534,0.315126266,0.003192835,-0.000536675,-3.11E-05,mes2,tree,299.1924422
2019,80.16336726,104.267629,266.5645705,378.390564,0.391531483,0.309746406,0.003392972,-0.000638253,-5.10E-05,mes3,tree,298.2271967
2019,87.49567869,110.5376497,298.642371,425.8099264,0.418410075,0.266860847,0.006577095,-0.000960531,-0.000117632,mes4,tree,338.3142477
2020,95.7205588,120.9216996,219.4791148,327.6420051,0.368289737,0.317420888,0.002018514,-0.000358665,-0.000123052,mes1,tree,231.9214463
2020,95.7103933,121.8226785,229.8897578,335.367082,0.375069628,0.31929582,0.002135922,-0.00039599,-0.000135177,mes2,tree,239.6566887
2020,93.57068382,120.0295209,239.7311779,319.7115034,0.376335907,0.316526482,0.002260471,-0.000514061,-0.000160619,mes3,tree,226.1408196
2020,103.7247081,124.702201,248.1475577,334.2683248,0.372452549,0.273219693,0.004730444,-0.000923725,-0.000136484,mes4,tree,230.5436167
